P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa,pm1Palas,pm2_5Palas,pm4Palas,pm10Palas,pmTotalPalas,dCnPalas
0,0.0,0.62,220264,1.47,759.49,17.92,98894,81,7.67333333333333,9.44333333333333,11.68,14.21,16.7,194.653333333333
0,0.0,0.62,141508,0.94,488.72,17.88,98890,82,7.68,9.45,11.6833333333333,14.2066666666667,16.6966666666667,194.71
0,0.0,0.62,163723,1.09,565.1,17.93,98889,81,7.68,9.45,11.69,14.22,16.71,194.78
0,0.0,0.62,88404,0.59,305.99,17.84,98885,82,7.68,9.45,11.69,14.21,16.6966666666667,194.816666666667
0,0.0,0.62,487832,3.25,1689.42,17.84,98884,82,7.68,9.45,11.6866666666667,14.2033333333333,16.6866666666667,194.86
82243,0.55,284.77,479073,3.19,1658.48,17.81,98884,82,7.69,9.45333333333333,11.6866666666667,14.2066666666667,16.6866666666667,194.93
228917,1.53,789.26,726858,4.85,2556.33,17.81,98889,82,7.69,9.46,11.7,14.2133333333333,16.69,194.99
0,0.0,0.62,295516,1.97,1018.74,17.77,98884,82,7.69,9.46,11.7,14.2133333333333,16.69,195.056666666667
97901,0.65,338.7,337915,2.25,1165.35,17.76,98879,82,7.7,9.47,11.7066666666667,14.2133333333333,16.6866666666667,195.113333333333
109883,0.73,379.94,327386,2.18,1128.89,17.74,98884,82,7.7,9.47,11.7133333333333,14.22,16.6866666666667,195.173333333333
69331,0.46,240.26,340402,2.27,1173.97,17.73,98884,83,7.7,9.47666666666667,11.7166666666667,14.22,16.68,195.233333333333
